Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTest1,Chrome 68.0.3440.106,,2018-09-04 07:41:27,2018-09-04 07:41:47,20.220s,PASSED
,,,,,,
Test Cases/LoginTest,Chrome 68.0.3440.106,,2018-09-04 07:41:27,2018-09-04 07:41:38,11.141s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 07:41:27,2018-09-04 07:41:31,3.779s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 07:41:31,2018-09-04 07:41:33,1.898s,PASSED
verifyEqual,Chrome 68.0.3440.106,,2018-09-04 07:41:33,2018-09-04 07:41:33,0.039s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-04 07:41:33,2018-09-04 07:41:33,0.149s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-04 07:41:33,2018-09-04 07:41:33,0.030s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-04 07:41:33,2018-09-04 07:41:33,0.057s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 07:41:33,2018-09-04 07:41:33,0.148s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 07:41:33,2018-09-04 07:41:34,0.577s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-04 07:41:34,2018-09-04 07:41:34,0.175s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 07:41:34,2018-09-04 07:41:34,0.061s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 07:41:34,2018-09-04 07:41:34,0.176s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 07:41:34,2018-09-04 07:41:34,0.049s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 07:41:34,2018-09-04 07:41:35,0.117s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-04 07:41:35,2018-09-04 07:41:35,0.040s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 07:41:35,2018-09-04 07:41:38,2.846s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-04 07:41:38,2018-09-04 07:41:38,0.737s,PASSED
,,,,,,
Test Cases/LoginTest,Chrome 68.0.3440.106,,2018-09-04 07:41:38,2018-09-04 07:41:47,8.721s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 07:41:38,2018-09-04 07:41:40,1.986s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 07:41:40,2018-09-04 07:41:42,1.868s,PASSED
verifyEqual,Chrome 68.0.3440.106,,2018-09-04 07:41:42,2018-09-04 07:41:42,0.013s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-04 07:41:42,2018-09-04 07:41:42,0.044s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-04 07:41:42,2018-09-04 07:41:42,0.019s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-04 07:41:42,2018-09-04 07:41:42,0.044s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 07:41:42,2018-09-04 07:41:42,0.112s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 07:41:42,2018-09-04 07:41:43,0.564s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-04 07:41:43,2018-09-04 07:41:43,0.056s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 07:41:43,2018-09-04 07:41:43,0.052s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 07:41:43,2018-09-04 07:41:43,0.124s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 07:41:43,2018-09-04 07:41:43,0.048s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 07:41:43,2018-09-04 07:41:43,0.117s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-04 07:41:43,2018-09-04 07:41:43,0.047s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 07:41:43,2018-09-04 07:41:46,2.864s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-04 07:41:46,2018-09-04 07:41:47,0.747s,PASSED
